"player_name","player_height","player_weight","gp_career","gp_by_season","pts_career_avg","reb_career_avg","ast_career_avg","net_rating_career","oreb_pct_career","dreb_pct_career","usg_pct_career","ts_pct_career","ast_pct_career","num_seasons","hall_of_fame","indiv_awards","playoffs_career","nba_titles","mvp_finals","finalist_career"
"MarShon Brooks",195.58,90.7184,200,40,9.84,2.22,1.7,-2.52,0.0386,0.101,0.2376,0.5446,0.1476,5,0,0,2,0,0,0
"Marc Gasol",215.118461538462,118.108378461538,891,68.5384615384615,13.7153846153846,7.31538461538462,3.34615384615385,1.8,0.0543076923076923,0.204923076923077,0.200384615384615,0.560615384615385,0.170769230769231,13,0,1,10,2,0,0
"Marcin Gortat",211.031666666667,108.86208,806,67.1666666666667,9.18333333333333,7.45833333333333,1.05833333333333,0.816666666666667,0.105166666666667,0.247916666666667,0.1695,0.56625,0.0671666666666667,12,0,0,6,0,0,1
"Marco Belinelli",195.58,92.8816849230769,860,66.1538461538462,9.30769230769231,1.95384615384615,1.61538461538462,-1.32307692307692,0.0110769230769231,0.0855384615384615,0.190615384615385,0.544,0.112538461538462,13,0,0,7,1,0,1
"Marcus Derrickson",200.66,112.944408,11,11,4.2,1.2,0.1,-7.2,0.104,0.063,0.235,0.653,0.026,1,0,0,1,1,0,0
"Marcus Garrett",195.58,92.98636,12,12,1.1,1.9,0.6,5.8,0.072,0.108,0.086,0.28,0.069,1,0,0,1,0,0,0
"Marcus Smart",192.475555555556,99.79024,581,64.5555555555556,10.6888888888889,3.55555555555556,4.7,4.81111111111111,0.0283333333333333,0.0917777777777778,0.173,0.513555555555556,0.212777777777778,8,0,1,8,0,0,1
"Marial Shayok",195.58,89.811216,4,4,2.8,1.8,0.3,-23.2,0.033,0.194,0.243,0.4,0.053,1,0,0,1,0,0,0
"Mario Hezonja",203.2,99.6995216,330,66,6.84,3.14,1.24,-8.4,0.024,0.1484,0.18,0.5114,0.104,5,0,0,1,0,0,0
"Markelle Fultz",192.193333333333,93.439952,191,31.8333333333333,10.85,3.3,4.76666666666667,-2.13333333333333,0.0306666666666667,0.0998333333333333,0.223333333333333,0.487333333333333,0.301666666666667,5,0,0,2,0,0,0
"Markieff Morris",207.221666666667,111.13004,750,62.5,9.95,4.7,1.50833333333333,-0.858333333333333,0.0515,0.165916666666667,0.2015,0.527833333333333,0.102666666666667,11,0,0,6,1,0,0
"Marko Guduric",198.12,91.171992,44,44,3.9,1.7,1,-2.6,0.028,0.115,0.168,0.514,0.127,1,0,0,0,0,0,0
"Marko Simonovic",212.09,99.79024,16,8,1.4,0.7,0,14.25,0.0825,0.089,0.196,0.4045,0,1,0,0,1,0,0,0
"Markus Howard",177.8,79.3786,68,34,3.45,0.5,0.35,-10.95,0.007,0.0795,0.257,0.522,0.1065,2,0,0,2,0,0,0
"Marques Bolden",208.28,112.944408,7,3.5,0.6,1.5,0,34.7,0.0415,0.294,0.068,0.2685,0,2,0,0,0,0,0,0
"Marquese Chriss",207.01,108.332889333333,292,48.6666666666667,6.9,4.78333333333333,0.966666666666667,-14.7333333333333,0.0726666666666667,0.229,0.201166666666667,0.5045,0.105,6,0,0,3,0,0,2
"Marvin Bagley III",210.312,106.5034016,208,41.6,13.3,7.18,0.9,-7.14,0.0882,0.1896,0.2214,0.5532,0.0548,4,0,0,0,0,0,0
"Marvin Williams",205.570666666667,107.622261866667,1072,71.4666666666667,10.2066666666667,5.14,1.28,-0.746666666666667,0.0467333333333333,0.158733333333333,0.164466666666667,0.549666666666667,0.072,15,0,0,7,0,0,0
