"player_name","player_height","player_weight","gp_career","gp_by_season","pts_career_avg","reb_career_avg","ast_career_avg","net_rating_career","oreb_pct_career","dreb_pct_career","usg_pct_career","ts_pct_career","ast_pct_career","num_seasons","hall_of_fame","indiv_awards","playoffs_career","nba_titles","mvp_finals","finalist_career"
"Terence Morris",205.74,100.243832,139,46.3333333333333,3.03333333333333,2.46666666666667,0.533333333333333,-5.36666666666667,0.0626666666666667,0.169666666666667,0.144666666666667,0.423666666666667,0.066,3,0,0,0,0,0,0
"Terrance Roberson",200.66,97.52228,3,3,0,0.3,0.3,-15.6,0,0.077,0.134,0,0.111,1,0,0,1,0,0,0
"Terrel Harris",193.04,86.18248,42,21,2.2,1.8,0.85,-3.7,0.0515,0.1595,0.1715,0.3365,0.1225,2,0,0,1,0,0,1
"Terrell Brandon",180.34,79.0006066666667,345,57.5,15.95,3.53333333333333,7.88333333333333,3.86666666666667,0.021,0.100833333333333,0.233333333333333,0.5085,0.3665,11,0,0,5,0,0,0
"Terrence Williams",198.12,99.79024,153,38.25,6.275,3.025,2.125,-7.325,0.02125,0.17975,0.21575,0.473,0.216,4,0,0,1,0,0,0
"Terry Cummings",205.74,109.99606,191,47.75,7.975,4.475,0.925,-2.45,0.10225,0.17925,0.22475,0.49225,0.08975,18,0,1,2,0,0,1
"Terry Davis",207.433333333333,112.642013333333,130,43.3333333333333,3.16666666666667,4.36666666666667,0.366666666666667,-3.7,0.110666666666667,0.189,0.0903333333333333,0.526333333333333,0.0336666666666667,10,0,0,0,0,0,0
"Terry Dehere",193.04,86.18248,176,58.6666666666667,5.33333333333333,1.2,1.9,-6.76666666666667,0.02,0.075,0.195666666666667,0.496333333333333,0.221666666666667,6,0,0,0,0,0,0
"Terry Mills",208.28,109.769264,226,45.2,6.5,3.62,0.7,-3.24,0.0648,0.1594,0.1722,0.4972,0.0642,11,0,0,5,0,0,1
"Terry Porter",190.5,90.7184,434,72.3333333333333,8.16666666666667,2.41666666666667,3.16666666666667,8.31666666666667,0.018,0.108,0.178833333333333,0.578333333333333,0.248166666666667,17,0,0,5,1,0,0
"Theo Ratliff",208.28,104.779752,735,49,6.58,5.24666666666667,0.52,-2.90666666666667,0.087,0.157533333333333,0.131466666666667,0.515133333333333,0.0356666666666667,16,0,0,7,1,0,0
"Theron Smith",203.2,102.0582,53,26.5,2.7,2.8,0.6,-8,0.082,0.1795,0.152,0.42,0.0795,2,0,0,0,0,0,0
"Thomas Gardner",195.58,102.0582,20,10,3.4,0.7,0.2,0.25,0.0305,0.049,0.224,0.379,0.04,2,0,0,2,0,0,0
"Thomas Hamilton",218.44,149.68536,22,22,3.7,4.1,0.7,-8,0.129,0.274,0.187,0.46,0.087,2,0,0,1,0,0,0
"Thomas Robinson",208.28,107.501304,313,62.6,4.92,4.84,0.6,-6.74,0.138,0.2692,0.196,0.4886,0.0744,5,0,0,0,0,0,0
"Thurl Bailey",210.82,112.037224,43,43,4.2,2.2,0.6,2.7,0.085,0.132,0.19,0.476,0.093,12,0,0,1,0,0,1
"Tiago Splitter",210.82,110.158057142857,355,50.7142857142857,7.3,4.58571428571429,1.05714285714286,7.05714285714286,0.100857142857143,0.194285714285714,0.186571428571429,0.585142857142857,0.0902857142857143,7,0,0,6,1,0,1
"Tierre Brown",187.96,85.728888,134,33.5,3.45,1.15,1.775,-21.85,0.027,0.09425,0.2475,0.485,0.336,4,0,0,2,0,0,1
